"aq2.5","time","hour","diffs","meds"
6.14,"2022-04-01 00:01:10 UTC",0,0.765,5.375
5,"2022-04-01 00:03:10 UTC",0,-0.375,5.375
5.29,"2022-04-01 00:05:10 UTC",0,-0.085,5.375
4.73,"2022-04-01 00:07:10 UTC",0,-0.645,5.375
4.31,"2022-04-01 00:09:10 UTC",0,-1.065,5.375
5.66,"2022-04-01 00:11:10 UTC",0,0.285,5.375
4.41,"2022-04-01 00:13:10 UTC",0,-0.965,5.375
5.55,"2022-04-01 00:15:10 UTC",0,0.175,5.375
5.63,"2022-04-01 00:17:10 UTC",0,0.255,5.375
5.97,"2022-04-01 00:19:10 UTC",0,0.595,5.375
6.88,"2022-04-01 00:21:10 UTC",0,1.505,5.375
5.67,"2022-04-01 00:23:10 UTC",0,0.295,5.375
5.57,"2022-04-01 00:25:10 UTC",0,0.195,5.375
5.42,"2022-04-01 00:27:10 UTC",0,0.0449999999999999,5.375
5.33,"2022-04-01 00:29:10 UTC",0,-0.0449999999999999,5.375
5.25,"2022-04-01 00:31:10 UTC",0,-0.125,5.375
5.03,"2022-04-01 00:33:10 UTC",0,-0.345,5.375
5.78,"2022-04-01 00:35:10 UTC",0,0.405,5.375
5.45,"2022-04-01 00:37:10 UTC",0,0.0750000000000002,5.375
4.95,"2022-04-01 00:39:10 UTC",0,-0.425,5.375
5.07,"2022-04-01 00:41:10 UTC",0,-0.305,5.375
4.88,"2022-04-01 00:43:10 UTC",0,-0.495,5.375
5.22,"2022-04-01 00:45:11 UTC",0,-0.155,5.375
4.96,"2022-04-01 00:47:11 UTC",0,-0.415,5.375
4.9,"2022-04-01 00:49:11 UTC",0,-0.475,5.375
5.78,"2022-04-01 00:51:11 UTC",0,0.405,5.375
5.68,"2022-04-01 00:53:11 UTC",0,0.305,5.375
4.95,"2022-04-01 00:55:11 UTC",0,-0.425,5.375
5.53,"2022-04-01 00:57:11 UTC",0,0.155,5.375
6.21,"2022-04-01 00:59:11 UTC",0,0.835,5.375
11.25,"2022-04-01 06:03:24 UTC",6,0.705,10.545
10.65,"2022-04-01 06:05:13 UTC",6,0.105,10.545
9.1,"2022-04-01 06:07:13 UTC",6,-1.445,10.545
7.9,"2022-04-01 06:09:13 UTC",6,-2.645,10.545
8.62,"2022-04-01 06:11:13 UTC",6,-1.925,10.545
10.27,"2022-04-01 06:13:13 UTC",6,-0.275,10.545
8.23,"2022-04-01 06:15:13 UTC",6,-2.315,10.545
10.16,"2022-04-01 06:17:13 UTC",6,-0.385,10.545
9.25,"2022-04-01 06:19:13 UTC",6,-1.295,10.545
11.15,"2022-04-01 06:21:13 UTC",6,0.605,10.545
11.6,"2022-04-01 06:23:13 UTC",6,1.055,10.545
9.71,"2022-04-01 06:25:13 UTC",6,-0.834999999999999,10.545
10.17,"2022-04-01 06:27:13 UTC",6,-0.375,10.545
10.61,"2022-04-01 06:29:13 UTC",6,0.0649999999999995,10.545
9.11,"2022-04-01 06:31:13 UTC",6,-1.435,10.545
11.72,"2022-04-01 06:33:13 UTC",6,1.175,10.545
12.51,"2022-04-01 06:35:13 UTC",6,1.965,10.545
10.48,"2022-04-01 06:37:13 UTC",6,-0.0649999999999995,10.545
11.26,"2022-04-01 06:39:14 UTC",6,0.715,10.545
12.04,"2022-04-01 06:41:13 UTC",6,1.495,10.545
10.42,"2022-04-01 06:43:13 UTC",6,-0.125,10.545
13.02,"2022-04-01 06:45:14 UTC",6,2.475,10.545
10.95,"2022-04-01 06:47:14 UTC",6,0.404999999999999,10.545
10.07,"2022-04-01 06:49:14 UTC",6,-0.475,10.545
10.77,"2022-04-01 06:51:14 UTC",6,0.225,10.545
9.6,"2022-04-01 06:53:14 UTC",6,-0.945,10.545
11.38,"2022-04-01 06:55:14 UTC",6,0.835000000000001,10.545
10.38,"2022-04-01 06:57:14 UTC",6,-0.164999999999999,10.545
10.96,"2022-04-01 06:59:14 UTC",6,0.415000000000001,10.545
10.96,"2022-04-01 07:01:14 UTC",6,0.415000000000001,10.545
5.9,"2022-04-01 11:03:16 UTC",11,-0.699999999999999,6.6
7.14,"2022-04-01 11:05:16 UTC",11,0.54,6.6
6.93,"2022-04-01 11:07:16 UTC",11,0.33,6.6
6.16,"2022-04-01 11:09:16 UTC",11,-0.44,6.6
8.65,"2022-04-01 11:11:16 UTC",11,2.05,6.6
6.2,"2022-04-01 11:13:16 UTC",11,-0.399999999999999,6.6
7.84,"2022-04-01 11:15:16 UTC",11,1.24,6.6
7.22,"2022-04-01 11:17:16 UTC",11,0.62,6.6
6.84,"2022-04-01 11:19:16 UTC",11,0.24,6.6
6.81,"2022-04-01 11:21:16 UTC",11,0.21,6.6
6.7,"2022-04-01 11:23:16 UTC",11,0.100000000000001,6.6
6.89,"2022-04-01 11:25:17 UTC",11,0.29,6.6
7.32,"2022-04-01 11:27:16 UTC",11,0.720000000000001,6.6
7.27,"2022-04-01 11:29:16 UTC",11,0.67,6.6
6.03,"2022-04-01 11:31:16 UTC",11,-0.569999999999999,6.6
8.09,"2022-04-01 11:33:16 UTC",11,1.49,6.6
6.28,"2022-04-01 11:35:16 UTC",11,-0.319999999999999,6.6
6.28,"2022-04-01 11:37:16 UTC",11,-0.319999999999999,6.6
6.1,"2022-04-01 11:39:16 UTC",11,-0.5,6.6
6.73,"2022-04-01 11:41:16 UTC",11,0.130000000000001,6.6
6.14,"2022-04-01 11:43:16 UTC",11,-0.46,6.6
6,"2022-04-01 11:45:16 UTC",11,-0.6,6.6
8.78,"2022-04-01 11:47:16 UTC",11,2.18,6.6
5.88,"2022-04-01 11:49:16 UTC",11,-0.72,6.6
5.39,"2022-04-01 11:51:16 UTC",11,-1.21,6.6
6.5,"2022-04-01 11:53:17 UTC",11,-0.0999999999999996,6.6
5.55,"2022-04-01 11:55:16 UTC",11,-1.05,6.6
4.91,"2022-04-01 11:57:16 UTC",11,-1.69,6.6
7.9,"2022-04-01 11:59:16 UTC",11,1.3,6.6
5.24,"2022-04-01 12:01:16 UTC",11,-1.36,6.6
9.89,"2022-04-01 16:03:18 UTC",16,-0.539999999999999,10.43
9.84,"2022-04-01 16:05:18 UTC",16,-0.59,10.43
11.98,"2022-04-01 16:07:18 UTC",16,1.55,10.43
11.12,"2022-04-01 16:09:18 UTC",16,0.69,10.43
9.94,"2022-04-01 16:11:18 UTC",16,-0.49,10.43
10.25,"2022-04-01 16:13:18 UTC",16,-0.18,10.43
10.78,"2022-04-01 16:15:18 UTC",16,0.35,10.43
9.35,"2022-04-01 16:17:18 UTC",16,-1.08,10.43
12.11,"2022-04-01 16:19:18 UTC",16,1.68,10.43
10.55,"2022-04-01 16:21:18 UTC",16,0.120000000000001,10.43
9.95,"2022-04-01 16:25:18 UTC",16,-0.48,10.43
11.05,"2022-04-01 16:27:18 UTC",16,0.620000000000001,10.43
9.95,"2022-04-01 16:29:18 UTC",16,-0.48,10.43
10.7,"2022-04-01 16:31:18 UTC",16,0.27,10.43
10.72,"2022-04-01 16:33:19 UTC",16,0.290000000000001,10.43
10.72,"2022-04-01 16:35:18 UTC",16,0.290000000000001,10.43
8.7,"2022-04-01 16:37:18 UTC",16,-1.73,10.43
9.75,"2022-04-01 16:39:18 UTC",16,-0.68,10.43
9.43,"2022-04-01 16:41:18 UTC",16,-1,10.43
10.79,"2022-04-01 16:43:19 UTC",16,0.359999999999999,10.43
10.31,"2022-04-01 16:45:19 UTC",16,-0.119999999999999,10.43
9.93,"2022-04-01 16:47:19 UTC",16,-0.5,10.43
9.11,"2022-04-01 16:49:19 UTC",16,-1.32,10.43
10.55,"2022-04-01 16:51:19 UTC",16,0.120000000000001,10.43
12.29,"2022-04-01 16:53:19 UTC",16,1.86,10.43
9.43,"2022-04-01 16:55:19 UTC",16,-1,10.43
8.86,"2022-04-01 16:57:19 UTC",16,-1.57,10.43
11.53,"2022-04-01 16:59:19 UTC",16,1.1,10.43
11.1,"2022-04-01 17:01:19 UTC",16,0.67,10.43
10.69,"2022-04-01 17:03:19 UTC",16,0.26,10.43
8.91,"2022-04-01 19:03:20 UTC",19,0.355,8.555
8.53,"2022-04-01 19:05:20 UTC",19,-0.0250000000000004,8.555
9.43,"2022-04-01 19:07:20 UTC",19,0.875,8.555
8.89,"2022-04-01 19:09:20 UTC",19,0.335000000000001,8.555
8.69,"2022-04-01 19:11:20 UTC",19,0.135,8.555
8.59,"2022-04-01 19:13:20 UTC",19,0.0350000000000001,8.555
10.37,"2022-04-01 19:15:20 UTC",19,1.815,8.555
9.19,"2022-04-01 19:17:21 UTC",19,0.635,8.555
8.84,"2022-04-01 19:19:20 UTC",19,0.285,8.555
8.43,"2022-04-01 19:21:20 UTC",19,-0.125,8.555
10.05,"2022-04-01 19:23:20 UTC",19,1.495,8.555
7.88,"2022-04-01 19:25:20 UTC",19,-0.675,8.555
7.55,"2022-04-01 19:27:20 UTC",19,-1.005,8.555
