"aq2.5","time","hour","diffs","meds"
0.75,"2022-03-27 00:00:07 UTC",0,0.085,0.665
0.66,"2022-03-27 00:02:07 UTC",0,-0.005,0.665
0.67,"2022-03-27 00:04:07 UTC",0,0.005,0.665
0.6,"2022-03-27 00:06:07 UTC",0,-0.0650000000000001,0.665
1.24,"2022-03-27 00:08:07 UTC",0,0.575,0.665
0.6,"2022-03-27 00:10:07 UTC",0,-0.0650000000000001,0.665
0.04,"2022-03-27 00:12:07 UTC",0,-0.625,0.665
0.46,"2022-03-27 00:14:07 UTC",0,-0.205,0.665
0.47,"2022-03-27 00:16:07 UTC",0,-0.195,0.665
0.29,"2022-03-27 00:18:07 UTC",0,-0.375,0.665
0.59,"2022-03-27 00:20:07 UTC",0,-0.0750000000000001,0.665
0.95,"2022-03-27 00:22:07 UTC",0,0.285,0.665
0.71,"2022-03-27 00:24:07 UTC",0,0.0449999999999999,0.665
0.69,"2022-03-27 00:26:10 UTC",0,0.0249999999999999,0.665
0.73,"2022-03-27 00:28:07 UTC",0,0.0649999999999999,0.665
0.84,"2022-03-27 00:30:07 UTC",0,0.175,0.665
0.4,"2022-03-27 00:32:07 UTC",0,-0.265,0.665
0.37,"2022-03-27 00:34:07 UTC",0,-0.295,0.665
0.25,"2022-03-27 00:36:07 UTC",0,-0.415,0.665
0.42,"2022-03-27 00:38:07 UTC",0,-0.245,0.665
0.38,"2022-03-27 00:40:07 UTC",0,-0.285,0.665
0.6,"2022-03-27 00:42:07 UTC",0,-0.0650000000000001,0.665
0.74,"2022-03-27 00:44:07 UTC",0,0.075,0.665
1.03,"2022-03-27 00:46:07 UTC",0,0.365,0.665
0.65,"2022-03-27 00:48:07 UTC",0,-0.015,0.665
0.77,"2022-03-27 00:50:07 UTC",0,0.105,0.665
1.07,"2022-03-27 00:52:07 UTC",0,0.405,0.665
1.31,"2022-03-27 00:54:07 UTC",0,0.645,0.665
0.9,"2022-03-27 00:56:07 UTC",0,0.235,0.665
0.95,"2022-03-27 00:58:08 UTC",0,0.285,0.665
0.72,"2022-03-27 06:00:11 UTC",6,0.41,0.31
0.18,"2022-03-27 06:02:10 UTC",6,-0.13,0.31
0.26,"2022-03-27 06:04:10 UTC",6,-0.05,0.31
0.37,"2022-03-27 06:06:10 UTC",6,0.06,0.31
0.29,"2022-03-27 06:08:10 UTC",6,-0.02,0.31
0.3,"2022-03-27 06:10:10 UTC",6,-0.01,0.31
0.73,"2022-03-27 06:12:10 UTC",6,0.42,0.31
0,"2022-03-27 06:14:10 UTC",6,-0.31,0.31
0.64,"2022-03-27 06:16:10 UTC",6,0.33,0.31
0.48,"2022-03-27 06:18:10 UTC",6,0.17,0.31
0.35,"2022-03-27 06:20:10 UTC",6,0.04,0.31
0.47,"2022-03-27 06:22:10 UTC",6,0.16,0.31
0,"2022-03-27 06:24:10 UTC",6,-0.31,0.31
0.26,"2022-03-27 06:26:10 UTC",6,-0.05,0.31
0.22,"2022-03-27 06:28:10 UTC",6,-0.09,0.31
0.16,"2022-03-27 06:30:10 UTC",6,-0.15,0.31
0.39,"2022-03-27 06:32:10 UTC",6,0.08,0.31
0.14,"2022-03-27 06:34:10 UTC",6,-0.17,0.31
0.18,"2022-03-27 06:36:10 UTC",6,-0.13,0.31
0.89,"2022-03-27 06:38:10 UTC",6,0.58,0.31
0.48,"2022-03-27 06:40:13 UTC",6,0.17,0.31
0.34,"2022-03-27 06:42:10 UTC",6,0.03,0.31
0.7,"2022-03-27 06:44:10 UTC",6,0.39,0.31
0.17,"2022-03-27 06:46:10 UTC",6,-0.14,0.31
0.32,"2022-03-27 06:48:10 UTC",6,0.01,0.31
0,"2022-03-27 06:50:10 UTC",6,-0.31,0.31
0.05,"2022-03-27 06:52:10 UTC",6,-0.26,0.31
0.49,"2022-03-27 06:54:10 UTC",6,0.18,0.31
0.19,"2022-03-27 06:56:10 UTC",6,-0.12,0.31
1.05,"2022-03-27 06:58:10 UTC",6,0.74,0.31
1.46,"2022-03-27 11:00:12 UTC",11,0.32,1.14
1.08,"2022-03-27 11:02:12 UTC",11,-0.0600000000000001,1.14
1.29,"2022-03-27 11:04:12 UTC",11,0.15,1.14
1.23,"2022-03-27 11:06:12 UTC",11,0.0899999999999999,1.14
1.62,"2022-03-27 11:08:13 UTC",11,0.48,1.14
1.16,"2022-03-27 11:10:12 UTC",11,0.0199999999999998,1.14
1.56,"2022-03-27 11:12:12 UTC",11,0.42,1.14
1.52,"2022-03-27 11:14:12 UTC",11,0.38,1.14
1.17,"2022-03-27 11:16:12 UTC",11,0.0299999999999998,1.14
1.3,"2022-03-27 11:18:12 UTC",11,0.16,1.14
1.6,"2022-03-27 11:20:12 UTC",11,0.46,1.14
1.35,"2022-03-27 11:22:24 UTC",11,0.21,1.14
0.91,"2022-03-27 11:24:12 UTC",11,-0.23,1.14
1.54,"2022-03-27 11:26:12 UTC",11,0.4,1.14
1.22,"2022-03-27 11:28:12 UTC",11,0.0799999999999998,1.14
1.27,"2022-03-27 11:30:12 UTC",11,0.13,1.14
0.91,"2022-03-27 11:32:12 UTC",11,-0.23,1.14
1.27,"2022-03-27 11:34:12 UTC",11,0.13,1.14
0.88,"2022-03-27 11:36:12 UTC",11,-0.26,1.14
1.12,"2022-03-27 11:38:12 UTC",11,-0.02,1.14
0.93,"2022-03-27 11:40:12 UTC",11,-0.21,1.14
1.07,"2022-03-27 11:42:12 UTC",11,-0.0700000000000001,1.14
1,"2022-03-27 11:44:13 UTC",11,-0.14,1.14
0.89,"2022-03-27 11:46:13 UTC",11,-0.25,1.14
