route,direction,scheduled,actual,minutes_late
C,northbound,2016-03-26 06:30:28,2016-03-26 06:26:04,-4.4
C,northbound,2016-03-26 01:05:25,2016-03-26 01:10:15,4.833333333333333
C,northbound,2016-03-26 21:00:25,2016-03-26 21:05:00,4.583333333333333
C,northbound,2016-03-26 22:30:25,2016-03-26 22:34:28,4.05
C,northbound,2016-03-26 20:15:25,2016-03-26 20:23:39,8.233333333333333
C,northbound,2016-03-26 18:03:28,2016-03-26 18:02:17,-1.1833333333333333
C,northbound,2016-03-26 15:39:28,2016-03-26 15:44:43,5.25
C,northbound,2016-03-26 13:15:28,2016-03-26 13:16:34,1.1
C,northbound,2016-03-26 10:49:28,2016-03-26 10:56:56,7.466666666666667
C,northbound,2016-03-26 08:49:28,2016-03-26 08:51:39,2.183333333333333
C,northbound,2016-03-26 06:45:28,2016-03-26 06:46:12,0.7333333333333333
C,northbound,2016-03-26 18:51:28,2016-03-26 18:48:58,-2.5
C,northbound,2016-03-26 16:27:28,2016-03-26 16:31:41,4.216666666666667
C,northbound,2016-03-26 11:39:28,2016-03-26 11:36:48,-2.6666666666666665
C,northbound,2016-03-26 09:25:28,2016-03-26 09:23:32,-1.9333333333333333
C,northbound,2016-03-26 07:15:28,2016-03-26 07:12:48,-2.6666666666666665
C,northbound,2016-03-26 05:25:28,2016-03-26 05:24:49,-0.65
C,northbound,2016-03-26 17:39:28,2016-03-26 17:43:42,4.233333333333333
C,northbound,2016-03-26 12:51:28,2016-03-26 12:51:28,0.0
C,northbound,2016-03-26 15:15:28,2016-03-26 15:18:33,3.0833333333333335
C,northbound,2016-03-26 10:25:28,2016-03-26 10:27:32,2.066666666666667
C,northbound,2016-03-26 08:24:28,2016-03-26 08:22:24,-2.066666666666667
C,northbound,2016-03-26 06:15:28,2016-03-26 06:16:59,1.5166666666666666
C,northbound,2016-03-26 02:10:25,2016-03-26 02:19:10,8.75
C,northbound,2016-03-26 00:00:25,2016-03-26 00:05:01,4.6
C,northbound,2016-03-26 21:45:25,2016-03-26 21:51:08,5.716666666666667
C,northbound,2016-03-26 17:03:28,2016-03-26 17:02:27,-1.0166666666666666
C,northbound,2016-03-26 14:39:28,2016-03-26 14:39:50,0.36666666666666664
C,northbound,2016-03-26 12:15:28,2016-03-26 12:16:31,1.05
